row ID,row m/z,row retention time,Library Peak area,
row ID,name,ion type,comment,SMILES,InChI
543,346.05040,0,1,
544,588.11200,0,1,
545,588.11200,0,1,
546,588.11200,0,1,
547,588.11200,0,1,
548,588.11200,0,1,
549,554.15040,0,1,
550,554.15040,0,1,
551,554.15040,0,1,
552,554.15040,0,1,
553,520.18940,0,1,
554,520.18940,0,1,
555,520.18940,0,1,
556,520.18940,0,1,
557,662.15410,0,1,
558,662.15410,0,1,
559,662.15410,0,1,
560,625.18700,0,1,
561,625.18700,0,1,
562,625.18700,0,1,
563,625.18700,0,1,
564,647.16900,0,1,
565,647.16900,0,1,
566,647.16900,0,1,
567,749.23300,0,1,
568,749.23300,0,1,
569,749.23300,0,1,
570,749.23300,0,1,
571,727.25110,0,1,
572,727.25110,0,1,
573,363.10640,0,1,
574,363.10640,0,1,
575,363.10640,0,1,
576,340.11660,0,1,
577,340.11660,0,1,
578,340.11660,0,1,
579,340.11660,0,1,
580,340.11660,0,1,
581,340.11660,0,1,
582,295.10890,0,1,
583,295.10890,0,1,
584,295.10890,0,1,
585,295.10890,0,1,
586,295.10890,0,1,
587,279.11400,0,1,
588,279.11400,0,1,
589,279.11400,0,1,
590,279.11400,0,1,
591,279.11400,0,1,
592,417.01280,0,1,
593,417.01280,0,1,
594,394.02300,0,1,
595,394.02300,0,1,
596,394.02300,0,1,
597,394.02300,0,1,
598,394.02300,0,1,
599,394.02300,0,1,
600,393.01520,0,1,
601,393.01520,0,1,
602,393.01520,0,1,
603,377.02030,0,1,
604,377.02030,0,1,
605,377.02030,0,1,
606,377.02030,0,1,
607,377.02030,0,1,
608,349.01410,0,1,
609,349.01410,0,1,
610,349.01410,0,1,
611,349.01410,0,1,
612,349.01410,0,1,
613,651.12850,0,1,
614,651.12850,0,1,
615,651.12850,0,1,
616,651.12850,0,1,
617,628.13870,0,1,
618,628.13870,0,1,
619,628.13870,0,1,
620,439.07560,0,1,
621,439.07560,0,1,
622,439.07560,0,1,
623,439.07560,0,1,
624,251.01370,0,1,
625,251.01370,0,1,
626,251.01370,0,1,
627,251.01370,0,1,
628,455.17140,0,1,
629,455.17140,0,1,
630,455.17140,0,1,
631,455.17140,0,1,
632,679.15980,0,1,
633,656.17000,0,1,
634,656.17000,0,1,
635,656.17000,0,1,
636,453.08800,0,1,
637,453.08800,0,1,
638,453.08800,0,1,
639,453.08800,0,1,
640,409.11190,0,1,
641,409.11190,0,1,
642,409.11190,0,1,
643,386.12210,0,1,
644,386.12210,0,1,
645,386.12210,0,1,
646,386.12210,0,1,
647,386.12210,0,1,
648,386.12210,0,1,
649,534.12540,0,1,
650,534.12540,0,1,
651,534.12540,0,1,
652,534.12540,0,1,
653,534.12540,0,1,
654,371.13600,0,1,
655,371.13600,0,1,
656,371.13600,0,1,
657,371.13600,0,1,
658,818.10070,0,1,
659,818.10070,0,1,
660,533.05450,0,1,
661,533.05450,0,1,
662,533.05450,0,1,
663,533.05450,0,1,
664,533.05450,0,1,
665,613.11300,0,1,
666,613.11300,0,1,
667,613.11300,0,1,
668,613.11300,0,1,
669,590.12330,0,1,
670,398.07880,0,1,
671,398.07880,0,1,
672,329.05720,0,1,
673,329.05720,0,1,
674,315.04150,0,1,
675,694.79090,0,1,
676,694.79090,0,1,
677,694.79090,0,1,
678,694.79090,0,1,
679,694.79090,0,1,
680,694.79090,0,1,
681,694.79090,0,1,
682,404.09650,0,1,
683,404.09650,0,1,
684,404.09650,0,1,
685,404.09650,0,1,
686,381.10680,0,1,
687,381.10680,0,1,
688,381.10680,0,1,
689,381.10680,0,1,
690,381.10680,0,1,
691,240.10160,0,1,
692,240.10160,0,1,
693,240.10160,0,1,
694,240.10160,0,1,
695,240.10160,0,1,
696,240.10160,0,1,
697,149.05840,0,1,
698,149.05840,0,1,
699,149.05840,0,1,
700,149.05840,0,1,
701,149.05840,0,1,
702,404.99050,0,1,
703,404.99050,0,1,
704,404.99050,0,1,
705,404.99050,0,1,
706,593.15860,0,1,
707,593.15860,0,1,
708,593.15860,0,1,
709,424.12920,0,1,
710,424.12920,0,1,
711,424.12920,0,1,
712,424.12920,0,1,
713,424.12920,0,1,
714,424.12920,0,1,
